. | Delimitador | 31  | 23 
remove | Identificador[1] | 31  | 26 
( | Delimitador | 31  | 32 
' | Delimitador | 31  | 33 
\n | Identificador[2] | 31  | 34 
' | Delimitador | 31  | 36 
) | Delimitador | 31  | 37 
except | Palavra Reservada | 32  | 16 
ValueError | Identificador[0] | 32  | 23 
: | Delimitador | 32  | 33 
break | Palavra Reservada | 33  | 20 
data | Identificador[0] | 35  | 8 
= | Delimitador | 35  | 13 
' | Delimitador | 35  | 15 
' | Delimitador | 35  | 16 
linha | Identificador[0] | 36  | 8 
= | Delimitador | 36  | 14 
' | Delimitador | 36  | 16 
' | Delimitador | 36  | 17 
coluna | Identificador[0] | 37  | 8 
= | Delimitador | 37  | 15 
0 | Identificador[1] | 37 
contId | Identificador[0] | 38  | 8 
= | Delimitador | 38  | 15 
0 | Identificador[1] | 38 
for | Palavra Reservada | 40  | 8 
i | Identificador[0] | 40  | 12 
in | Palavra Reservada | 40  | 14 
range | Palavra Reservada | 40  | 17 
( | Delimitador | 40  | 20 
len | Palavra Reservada | 40  | 23 
( | Delimitador | 40  | 24 
list | Palavra Reservada | 40  | 27 
a | Identificador[1] | 40  | 29 
) | Delimitador | 40  | 30 
) | Delimitador | 40  | 33 
: | Delimitador | 40  | 34 
linha | Identificador[0] | 42  | 12 
= | Delimitador | 42  | 18 
linha | Identificador[1] | 42  | 20 
+ | Operador | 42  | 26 
str | Identificador[2] | 42  | 28 
( | Delimitador | 42  | 31 
list | Palavra Reservada | 42  | 32 
a | Identificador[3] | 42  | 34 
[ | Delimitador | 42  | 35 
i | Identificador[4] | 42  | 38 
] | Delimitador | 42  | 39 
) | Delimitador | 42  | 40 
condicao | Identificador[0] | 43  | 12 
= | Delimitador | 43  | 21 
self | Palavra Reservada | 43  | 23 
. | Delimitador | 43  | 25 
analisaFrase | Identificador[1] | 43  | 28 
( | Delimitador | 43  | 40 
list | Palavra Reservada | 43  | 41 
a | Identificador[2] | 43  | 43 
[ | Delimitador | 43  | 44 
i | Identificador[3] | 43  | 47 
] | Delimitador | 43  | 48 
, | Delimitador | 43  | 49 
linha | Identificador[4] | 43  | 50 
) | Delimitador | 43  | 55 
print | Palavra Reservada | 44  | 12 
( | Delimitador | 44  | 15 
str | Identificador[0] | 44  | 18 
( | Delimitador | 44  | 21 
list | Palavra Reservada | 44  | 22 
a | Identificador[1] | 44  | 24 
) | Delimitador | 44  | 25 
) | Delimitador | 44  | 28 
if | Palavra Reservada | 46  | 12 
( | Delimitador | 46  | 12 
condicao | Identificador[0] | 46  | 15 
[ | Delimitador | 46  | 23 
1 | Identificador[1] | 46  | 24 
